syn1	syn2
10147262-n	n:person
10147619-n	n:person
10149436-n	n:person
10150794-n	n:person
10158756-n	n:person
10162194-n	n:person
10173895-n	n:person
10182913-n	n:person
10183157-n	n:person
10184946-n	n:person
10185148-n	n:person
10190745-n	n:person
10191001-n	n:person
10199783-n	n:person
10203839-n	n:person
10209888-n	n:person
10212780-n	n:person
10213429-n	n:person
10219879-n	n:person
10221656-n	n:person
10226993-n	n:person
10227266-n	n:person
10231087-n	n:person
10235549-n	n:person
10236842-n	n:person
10238272-n	n:person
10239761-n	n:person
10240082-n	n:person
10240514-n	n:person
10247044-n	n:person
10247880-n	n:person
10248876-n	n:person
10251779-n	n:person
10253122-n	n:person
10260706-n	n:person
10262183-n	n:person
10264219-n	n:person
10266328-n	n:person
10268299-n	n:person
10270878-n	n:person
10271525-n	n:person
10278666-n	n:person
10282920-n	n:person
10284965-n	n:person
10289039-n	n:person
10291110-n	n:person
10291730-n	n:person
10295819-n	n:person
10297234-n	n:person
10299700-n	n:person
10300303-n	n:person
10304383-n	n:person
10308066-n	n:person
10310903-n	n:person
10311823-n	n:person
10314182-n	n:person
10321754-n	n:person
10322238-n	n:person
10322546-n	n:person
10323999-n	n:person
10326551-n	n:person
10328941-n	n:person
10333165-n	n:person
10335563-n	n:person
10341660-n	n:person
10341955-n	n:person
10344774-n	n:person
10344922-n	n:person
10351625-n	n:person
10352299-n	n:person
10355142-n	n:person
10361060-n	n:person
10361296-n	n:person
10361390-n	n:person
10361525-n	n:person
10362003-n	n:person
10362319-n	n:person
10365399-n	n:person
10367409-n	n:person
10370381-n	n:person
10378412-n	n:person
10380126-n	n:person
10384496-n	n:person
10385707-n	n:person
10386071-n	n:person
10386515-n	n:person
10386618-n	n:person
10389398-n	n:person
10395390-n	n:person
10396462-n	n:person
10399299-n	n:person
10402417-n	n:person
10402824-n	n:person
10404550-n	n:person
10417682-n	n:person
10418101-n	n:person
10418735-n	n:person
10425946-n	n:person
10431625-n	n:person
10435716-n	n:person
10438172-n	n:person
10440580-n	n:person
10456603-n	n:person
10457777-n	n:person
10461169-n	n:person
10461424-n	n:person
10466918-n	n:person
10484739-n	n:person
10490965-n	n:person
10495167-n	n:person
10495975-n	n:person
10498699-n	n:person
